		Institution	Location	Academic	Employer	Citations	H	International	Score
1	1	University of Oxford	United Kingdom	100	98.5	85.9	100	86.4	98
2	3	University of Cambridge	United Kingdom	99.8	97.7	82.8	97.1	100	97.9
3	2	Harvard University	United States	99.5	100	85	92.2	87.5	97.4
4	4=	"University of California, Berkeley (UCB)"	United States	96.2	87.4	88.8	84.2	68.4	91.6
5	6	Stanford University	United States	94.7	93.3	93.7	79.3	58.4	91.4
6	4=	Yale University	United States	94.8	87.9	82.3	92.2	52.6	90.2
7	10	Columbia University	United States	93.3	83.6	83.1	86.4	79.6	89.4
8	7	New York University (NYU)	United States	94.3	81.5	85.6	90.4	64.6	89.3
9=	11	The University of Edinburgh	United Kingdom	92.7	79.4	86.1	93.9	74.6	88.7
9=	9	"University of California, Los Angeles (UCLA)"	United States	92.9	86.5	83.8	81.8	64.5	88.7
11	12	UCL	United Kingdom	91.3	80.4	83.5	84.2	96.4	88.3
12	15	National University of Singapore (NUS)	Singapore	91.7	98.6	79.7	62.1	44.6	87.6
13=	13=	Massachusetts Institute of Technology (MIT) 	United States	87.3	94.2	94.6	76.5	61.6	87.1
13=	13=	University of Chicago	United States	94.5	76.5	80.8	86.4	50.3	87.1
15	8	Princeton University	United States	93.2	77.9	85.4	92.2	33.7	86.5
16=	18	The University of Melbourne	Australia	88.5	90.9	79.2	73.4	69.6	86.2
16=	17	University of Toronto	Canada	90.9	79	89.2	81.8	60.2	86.2
18	16	The London School of Economics and Political Science (LSE)	United Kingdom	88	87.3	84.1	81.8	48.4	85.1
19	19	Humboldt-Universit?t zu Berlin	Germany	94.5	72.5	72.8	73.4	53.7	84.9
20	27=	The University of Hong Kong	Hong Kong SAR	90.3	89.5	83.1	57.1	44.4	84.8
21	26	University of Amsterdam	Netherlands	87.3	75	95.1	84.2	75.7	84.6
22	23	The University of Sydney	Australia	87.4	87.1	78.4	76.5	60.8	84.5
23=	34	Sorbonne University	France	92.3	77.3	72.6	62.1	63.4	84.1
23=	22	The University of Tokyo	Japan	91.8	87.7	74.1	57.1	32.7	84.1
25	21	The Australian National University	Australia	87.2	83.9	78.3	76.5	60.9	83.8
26	31=	Universit¨¦ Paris 1 Panth¨¦on-Sorbonne 	France	92	80.9	67.6	62.1	52.6	83.7
27	30	King's College London	United Kingdom	87.5	78	78.7	79.3	72.4	83.6
28	24=	Freie Universitaet Berlin	Germany	94.3	68	75.5	70.1	45.6	83.4
29	29	University of Michigan-Ann Arbor	United States	86.3	74.2	85.3	88.4	67.5	83
30	20	University of British Columbia	Canada	87.3	81.9	80.9	70.1	50.1	82.6
31=	35	Leiden University	Netherlands	90.3	67.4	75.3	70.1	66.3	81.9
31=	31=	University of Pennsylvania	United States	86.7	75.1	84.9	76.5	55.3	81.9
33	24=	Universidad Nacional Aut¨®noma de M¨¦xico  (UNAM)	Mexico	91.7	79.4	60.8	57.1	37.2	81.6
